wetland,station,min_waterLevel,mean_waterLevel,median_waterLevel,max_waterLevel,dur_day,percent_sat,n_events
DB,KW-1W,-0.776494178125118,0.192047070660514,0.395892110431532,0.552188194359497,326,0.2220708446866485,2
DB,KW-2E,-0.970263639445766,-0.09317488054110526,0.100236110431532,0.256532194359497,294,0.20027247956403268,0
DB,KW-3T,-1.44775935711859,-0.7355519751569237,-0.588581967526036,-0.346121154013686,121,0.082425068119891,10
DB,KW-4U,-1.59536380190282,-0.9628962271991582,-0.839204058443765,-0.535874123003737,0,0,0
ND,KW-1W,-0.639858734110698,0.3818155393431649,0.612859973836221,0.868754614804888,350,0.23841961852861035,0
ND,KW-2E,-1.05837554688825,-0.0697667674095396,0.166551167836221,0.422445808804888,290,0.19754768392370572,0
ND,KW-3T,-1.8112839965011,-0.912521970444933,-0.696862486142982,-0.416419516452803,52,0.035422343324250684,10
ND,KW-4U,-2.22885928643629,-1.3396944924654575,-1.12441972646347,-0.829640801896704,0,0,0
QB,KW-1W,-0.57927982864086,-0.04015160858043369,0.0507249184709485,0.307804216805981,339,0.23092643051771117,0
QB,KW-2E,-0.718455655704499,-0.2190334986998231,-0.122249942140274,0.106644796805981,294,0.20027247956403268,1
QB,KW-3T,-1.01133634590389,-0.5349849457831427,-0.45352673295409,-0.17083815064145,211,0.14373297002724797,2
QB,KW-4U,-1.50363905266735,-1.036148794288773,-0.957683607543323,-0.629733811416921,0,0,0
TB,KW-1W,-0.763300146597862,-0.08385451351366859,0.08928936306489975,0.249182010873259,288,0.19618528610354224,0
TB,KW-2E,-0.925382534374497,-0.28902794651540603,-0.1286847919211635,0.0510620108732585,270,0.18392370572207084,0
TB,KW-3T,-1.26612533701942,-0.6932356650811581,-0.560617618806222,-0.31268758622938,152,0.10354223433242507,4
TB,KW-4U,-1.55727990557971,-1.0789481387510236,-0.9815314822602355,-0.613280461870481,0,0,0
