wetland,station,min_depth_m,mean_depth_m,median_depth_m,max_depth_m,dur_day,n_events
DB,KW-1W,0.375188321780496,0.4981710768235303,0.521464956157408,0.618574815534722,93,1
DB,KW-2E,0.0795323217804961,0.2025150768235302,0.225808956157407,0.322918815534722,93,1
DB,KW-3T,-0.541730052322569,-0.3958762677897657,-0.36947893791882,-0.255574140246962,72,1
DB,KW-4U,-0.757114141692151,-0.5939533586637676,-0.572658519834257,-0.431742952743979,9,5
ND,KW-1W,0.619707790689772,0.7028617013569917,0.693017338769963,0.799934871979167,93,1
ND,KW-2E,0.173398984689772,0.2565528953569917,0.246708532769963,0.353626065979167,93,1
ND,KW-3T,-0.648881139481001,-0.5372144154970455,-0.54991671344238,-0.379152366952394,29,3
ND,KW-4U,-1.07221746686442,-0.9569060269554129,-0.970914163692403,-0.787675896516976,0,0
QB,KW-1W,0.0980384590757727,0.24443452508605543,0.287561567944445,0.347053555243056,93,1
QB,KW-2E,-0.0807436411868041,0.04906757664948149,0.0864021479444447,0.145894135243056,93,1
QB,KW-3T,-0.391505182455272,-0.245572192984953,-0.212783578956473,-0.135814966757698,93,1
QB,KW-4U,-0.892239120625213,-0.7247689131908216,-0.69015445348277,-0.576107269149437,0,0
TB,KW-1W,0.159005108053007,0.20516676456843774,0.202282984909501,0.280015449754409,93,1
TB,KW-2E,NA,NA,NA,NA,NA,NA
TB,KW-3T,NA,NA,NA,NA,NA,NA
TB,KW-4U,NA,NA,NA,NA,NA,NA
